Industry Clean,Mapped,count,Industry Ref
Primary & Secondary Education,true,8,Secondary Education
Solar,,8,Solar
Startup,,8,Startup
Structural Engineering,,8,Structural Engineering
Textiles,true,8,Textiles
Professional Training & Coaching,true,8,Training
Ad Tech,,7,AdTech
Defense & Space,true,7,Aerospace Engineering
Automotive,true,7,Automotive Manufacturing
Automotive,true,7,Automotive Retail
Biotechnology,true,7,Biopharmaceuticals
Broadcast Media,true,7,Broadcast
Public Relations and Communications,true,7,Communications- Marketing
DoD,,7,DoD
Economic Development,,7,Economic Development
Construction,true,7,Electrical construction
Computer Software,true,7,Enterprise Software
Government Administration,true,7,Federal Government Contractor
Accounting,true,7,Finance/Accounting
Food & Beverages,true,7,Food & Beverage
Computer Games,true,7,Games
Government Administration,true,7,Goverment
Hospital & Health Care,true,7,Healthcare Education
Hospital & Health Care,true,7,Healthcare Finance
Hospital & Health Care,true,7,Healthcare Research
Heavy Equipment,,7,Heavy Equipment
HR Consulting,,7,HR Consulting
Internet,true,7,Internet Technology
Labor Union,,7,Labor Union
Non-Profit Organization Management,true,7,Legal (Non-profit)
Insurance,true,7,Life Insurance
Computer Software,true,7,Medical Software
Environmental Services,true,7,Non profit environmental
Non-Profit Organization Management,true,7,Non-profit law
Non-Profit Organization Management,true,7,Nonprofit/Philanthropy
Media,true,7,Online Media
Payroll,,7,Payroll
Real Estate,true,7,Private Equity Real Estate
Transportation/Trucking/Railroad,true,7,Railroad
Recreational Facilities and Services,true,7,Recreation
Research,,7,Social Science Research
Computer Software,true,7,Software/Tech
Chemicals,true,7,Specialty Chemicals
Teaching,,7,Teaching
Government Administration,true,7,US Federal Government
Video Production,,7,Video Production
Water,,7,Water
Research,true,6,Academic science
Marketing and Advertising,true,6,Advertising Technology
Defense & Space,true,6,Aerospace Manufacturing
Animation,,6,Animation
Fine Art,true,6,Arts and Culture
Fine Art,true,6,Arts Non Profit
Banking,true,6,Bank
Business Consulting,,6,Business Consulting
Construction,true,6,Commercial Construction
Construction,true,6,Construction and engineering
Contracting,,6,Contracting
Corporate Finance,,6,Corporate Finance
Cosmetics,true,6,Cosmetics
Data Analytics,,6,Data Analytics
Data Science,,6,Data Science
Defense & Space,true,6,Defense/Aerospace
Development,,6,Development
Primary & Secondary Education,true,6,Education (High School)
Primary & Secondary Education,true,6,Education / Non Profit
Engineering Consultant,,6,Engineering Consultancy
Environmental Services,true,6,Environment
Environmental Services,true,6,Environmental engineering
Environmental Services,true,6,Environmental Science
Financial Services,true,6,Financial Planning
Paper & Forest Products,true,6,Forestry
Govt,,6,Govt
"Health, Wellness and Fitness",true,6,Health and Wellness
Hospital & Health Care,true,6,Healthcare Administration
Hospital & Health Care,true,6,Healthcare Insurance
Higher Ed Administration,,6,Higher Ed Administration
Industrial Automation,true,6,Industrial Construction
Information,,6,Information
Government Administration,true,6,Law (government)
Marketing and Advertising,,6,Marketing Tech
Marketing and Advertising,,6,Marketing Technology
Entertainment,true,6,Media and Entertainment
NGO,,6,NGO
Non-Profit Organization Management,true,6,Non-Profit Consulting
Hospital & Health Care,true,6,Non-Profit Public Health
Non-Profit Organization Management,true,6,Nonprofit communications
Retail,true,6,Online Retail
Plastics,true,6,Plastics
Political Organization,true,6,Political Consulting
Public Policy,true,6,Public Policy
Research,,6,Radio
Research,true,6,Research (academia)
Research Administration,,6,Research Administration
Retail,true,6,Retail Pharmacy
Robotics,,6,Robotics
Senior Living,,6,Senior Living
Computer Software,true,6,Software as a service
Waste Management,,6,Waste Management
Water Treatment,,6,Water Treatment
Wireless,true,6,Wireless
Primary & Secondary Education,true,5,Academic Administration
Accounting,true,5,Accounting/Finance
Primary & Secondary Education,true,5,Adult Education
Hospital & Health Care,true,5,Allied Health
Attorney,,5,Attorney
Audio Visual,,5,Audio Visual
Automotive,true,5,Auto
Automotive,true,5,Auto sales
Automotive,true,5,Automotive Engineering
Manufacturing,true,5,Beverage Manufacturing
Broadcast Media,true,5,Broadcasting
Chemicals,true,5,Chemical distribution
Chemicals,true,5,Chemistry
Civil Engineering,true,5,Civil Construction
College Athletics,,5,College Athletics
Public Relations and Communications,true,5,Communications and Marketing
Mental Health Care,true,5,Community Mental Health
Compliance,,5,Compliance
Consultancy,,5,Consultancy
Retail,true,5,Corporate Retail
Creative,,5,Creative
Credit Union,,5,Credit Union
Defense Industry,,5,Defense Industry
DOD Contractor,,5,DOD Contractor
Primary & Secondary Education,true,5,Early Childhood Education
Primary & Secondary Education,true,5,Education Administration
Wholesale,true,5,Electrical wholesale
EMS,,5,EMS
Oil & Energy,true,5,Energy Efficiency
Entertainment,true,5,Entertainment Technology
Facilities Services,true,5,Facilities
Furniture,true,5,Furniture
Computer Games,true,5,Game Development
Government Administration,true,5,government R&D
Hospital & Health Care,true,5,Healthcare Tech
Fund-Raising,true,5,Higher Ed Fundraising
Industrial Automation,true,5,Industrial Distribution
Intellectual Property,,5,Intellectual Property
International Affairs,true,5,International organization
Architecture & Planning,true,5,Landscape Architecture
Landscaping,,5,Landscaping
Law Practice,true,5,Law Firm
Learning and Development,,5,Learning and Development
Non-Profit Organization Management,true,5,Legal services (nonprofit)
Libraries and archives,,5,Libraries and archives
Consumer Goods,true,5,Luxury Goods
Marine,,5,Marine
Marketing and Advertising,true,5,Marketing and Advertising
Mechanical Engineering,,5,Mechanical Engineering
Medical Devices,true,5,Medical Equipment
Medical Devices,true,5,Medical Manufacturing
Primary & Secondary Education,true,5,Museum Education
Natural Gas,,5,Natural Gas
Computer Networking,true,5,Networking
